date_id,date,day,month,month_name,quarter,year,week
1,2024-01-01,1,1,January,1,2024,1
2,2024-01-02,2,1,January,1,2024,1
3,2024-01-03,3,1,January,1,2024,1
4,2024-01-04,4,1,January,1,2024,1
5,2024-01-05,5,1,January,1,2024,1
6,2024-01-06,6,1,January,1,2024,1
7,2024-01-07,7,1,January,1,2024,1
8,2024-01-08,8,1,January,1,2024,2
9,2024-01-09,9,1,January,1,2024,2
10,2024-01-10,10,1,January,1,2024,2
11,2024-01-11,11,1,January,1,2024,2
12,2024-01-12,12,1,January,1,2024,2
13,2024-01-13,13,1,January,1,2024,2
14,2024-01-14,14,1,January,1,2024,2
15,2024-01-15,15,1,January,1,2024,3
16,2024-01-16,16,1,January,1,2024,3
17,2024-01-17,17,1,January,1,2024,3
18,2024-01-18,18,1,January,1,2024,3
19,2024-01-19,19,1,January,1,2024,3
20,2024-01-20,20,1,January,1,2024,3
21,2024-01-21,21,1,January,1,2024,3
22,2024-01-22,22,1,January,1,2024,4
23,2024-01-23,23,1,January,1,2024,4
24,2024-01-24,24,1,January,1,2024,4
25,2024-01-25,25,1,January,1,2024,4
26,2024-01-26,26,1,January,1,2024,4
27,2024-01-27,27,1,January,1,2024,4
28,2024-01-28,28,1,January,1,2024,4
29,2024-01-29,29,1,January,1,2024,5
30,2024-01-30,30,1,January,1,2024,5
31,2024-01-31,31,1,January,1,2024,5
32,2024-02-01,1,2,February,1,2024,5
33,2024-02-02,2,2,February,1,2024,5
34,2024-02-03,3,2,February,1,2024,5
35,2024-02-04,4,2,February,1,2024,5
36,2024-02-05,5,2,February,1,2024,6
37,2024-02-06,6,2,February,1,2024,6
38,2024-02-07,7,2,February,1,2024,6
39,2024-02-08,8,2,February,1,2024,6
40,2024-02-09,9,2,February,1,2024,6
41,2024-02-10,10,2,February,1,2024,6
42,2024-02-11,11,2,February,1,2024,6
43,2024-02-12,12,2,February,1,2024,7
44,2024-02-13,13,2,February,1,2024,7
45,2024-02-14,14,2,February,1,2024,7
46,2024-02-15,15,2,February,1,2024,7
47,2024-02-16,16,2,February,1,2024,7
48,2024-02-17,17,2,February,1,2024,7
49,2024-02-18,18,2,February,1,2024,7
50,2024-02-19,19,2,February,1,2024,8
51,2024-02-20,20,2,February,1,2024,8
52,2024-02-21,21,2,February,1,2024,8
53,2024-02-22,22,2,February,1,2024,8
54,2024-02-23,23,2,February,1,2024,8
55,2024-02-24,24,2,February,1,2024,8
56,2024-02-25,25,2,February,1,2024,8
57,2024-02-26,26,2,February,1,2024,9
58,2024-02-27,27,2,February,1,2024,9
59,2024-02-28,28,2,February,1,2024,9
60,2024-02-29,29,2,February,1,2024,9
61,2024-03-01,1,3,March,1,2024,9
62,2024-03-02,2,3,March,1,2024,9
63,2024-03-03,3,3,March,1,2024,9
64,2024-03-04,4,3,March,1,2024,10
65,2024-03-05,5,3,March,1,2024,10
66,2024-03-06,6,3,March,1,2024,10
67,2024-03-07,7,3,March,1,2024,10
68,2024-03-08,8,3,March,1,2024,10
69,2024-03-09,9,3,March,1,2024,10
70,2024-03-10,10,3,March,1,2024,10
71,2024-03-11,11,3,March,1,2024,11
72,2024-03-12,12,3,March,1,2024,11
73,2024-03-13,13,3,March,1,2024,11
74,2024-03-14,14,3,March,1,2024,11
75,2024-03-15,15,3,March,1,2024,11
76,2024-03-16,16,3,March,1,2024,11
77,2024-03-17,17,3,March,1,2024,11
78,2024-03-18,18,3,March,1,2024,12
79,2024-03-19,19,3,March,1,2024,12
80,2024-03-20,20,3,March,1,2024,12
81,2024-03-21,21,3,March,1,2024,12
82,2024-03-22,22,3,March,1,2024,12
83,2024-03-23,23,3,March,1,2024,12
84,2024-03-24,24,3,March,1,2024,12
85,2024-03-25,25,3,March,1,2024,13
86,2024-03-26,26,3,March,1,2024,13
87,2024-03-27,27,3,March,1,2024,13
88,2024-03-28,28,3,March,1,2024,13
89,2024-03-29,29,3,March,1,2024,13
90,2024-03-30,30,3,March,1,2024,13
91,2024-03-31,31,3,March,1,2024,13
92,2024-04-01,1,4,April,2,2024,14
93,2024-04-02,2,4,April,2,2024,14
94,2024-04-03,3,4,April,2,2024,14
95,2024-04-04,4,4,April,2,2024,14
96,2024-04-05,5,4,April,2,2024,14
97,2024-04-06,6,4,April,2,2024,14
98,2024-04-07,7,4,April,2,2024,14
99,2024-04-08,8,4,April,2,2024,15
100,2024-04-09,9,4,April,2,2024,15
101,2024-04-10,10,4,April,2,2024,15
